,sala,qtd_ciclos
,"[43, (43, '2021-04-20_20:04:57'), (43, '2021-04-20_20:05:00'), (43, '2021-04-20_20:05:04'), (43, '2021-04-20_20:05:07'), (43, '2021-04-20_20:05:10'), (0, '2021-04-20_20:05:13'), (0, '2021-04-20_20:05:16'), (0, '2021-04-20_20:05:19'), (0, '2021-04-20_20:05:22'), (0, '2021-04-20_20:05:25'), (0, '2021-04-20_20:05:28'), (0, '2021-04-20_20:05:31'), (0, '2021-04-20_20:05:34'), (0, '2021-04-20_20:05:37'), (0, '2021-04-20_20:05:40'), (0, '2021-04-20_20:05:43'), (0, '2021-04-20_20:05:46'), (0, '2021-04-20_20:05:49'), (0, '2021-04-20_20:05:52')]",20
#NET-CLARO-WIFI,"[39, (39, '2021-04-20_20:04:57'), (39, '2021-04-20_20:05:00'), (31, '2021-04-20_20:05:04'), (31, '2021-04-20_20:05:07'), (31, '2021-04-20_20:05:10'), (31, '2021-04-20_20:05:13'), (31, '2021-04-20_20:05:16'), (31, '2021-04-20_20:05:19'), (31, '2021-04-20_20:05:22'), (31, '2021-04-20_20:05:25'), (31, '2021-04-20_20:05:28'), (31, '2021-04-20_20:05:31'), (0, '2021-04-20_20:05:34'), (0, '2021-04-20_20:05:37'), (0, '2021-04-20_20:05:40'), (0, '2021-04-20_20:05:43'), (0, '2021-04-20_20:05:46'), (0, '2021-04-20_20:05:49'), (0, '2021-04-20_20:05:52')]",20
ARTHUR,"[(0, '2021-04-20_20:05:04'), (0, '2021-04-20_20:05:04'), (0, '2021-04-20_20:05:04'), 29, (29, '2021-04-20_20:05:07'), (29, '2021-04-20_20:05:10'), (29, '2021-04-20_20:05:13'), (29, '2021-04-20_20:05:16'), (29, '2021-04-20_20:05:19'), (29, '2021-04-20_20:05:22'), (29, '2021-04-20_20:05:25'), (29, '2021-04-20_20:05:28'), (29, '2021-04-20_20:05:31'), (0, '2021-04-20_20:05:34'), (0, '2021-04-20_20:05:37'), (0, '2021-04-20_20:05:40'), (0, '2021-04-20_20:05:43'), (0, '2021-04-20_20:05:46'), (0, '2021-04-20_20:05:49'), (0, '2021-04-20_20:05:52')]",20
BEATRIZ,"[44, (44, '2021-04-20_20:04:57'), (44, '2021-04-20_20:05:00'), (34, '2021-04-20_20:05:04'), (34, '2021-04-20_20:05:07'), (34, '2021-04-20_20:05:10'), (34, '2021-04-20_20:05:13'), (34, '2021-04-20_20:05:16'), (34, '2021-04-20_20:05:19'), (34, '2021-04-20_20:05:22'), (34, '2021-04-20_20:05:25'), (34, '2021-04-20_20:05:28'), (34, '2021-04-20_20:05:31'), (0, '2021-04-20_20:05:34'), (0, '2021-04-20_20:05:37'), (0, '2021-04-20_20:05:40'), (0, '2021-04-20_20:05:43'), (0, '2021-04-20_20:05:46'), (0, '2021-04-20_20:05:49'), (0, '2021-04-20_20:05:52')]",20
DIRECT-BvM2070 Series,"[50, (50, '2021-04-20_20:04:57'), (50, '2021-04-20_20:05:00'), (58, '2021-04-20_20:05:04'), (58, '2021-04-20_20:05:07'), (58, '2021-04-20_20:05:10'), (58, '2021-04-20_20:05:13'), (58, '2021-04-20_20:05:16'), (58, '2021-04-20_20:05:19'), (58, '2021-04-20_20:05:22'), (58, '2021-04-20_20:05:25'), (58, '2021-04-20_20:05:28'), (58, '2021-04-20_20:05:31'), (0, '2021-04-20_20:05:34'), (0, '2021-04-20_20:05:37'), (0, '2021-04-20_20:05:40'), (0, '2021-04-20_20:05:43'), (0, '2021-04-20_20:05:46'), (0, '2021-04-20_20:05:49'), (0, '2021-04-20_20:05:52')]",20
Espindola_2.4G,"[(53, '2021-04-20_20:04:54'), (53, '2021-04-20_20:04:57'), (53, '2021-04-20_20:05:00'), (53, '2021-04-20_20:05:04'), (53, '2021-04-20_20:05:07'), (53, '2021-04-20_20:05:10'), (53, '2021-04-20_20:05:13'), (53, '2021-04-20_20:05:16'), (53, '2021-04-20_20:05:19'), (53, '2021-04-20_20:05:22'), (53, '2021-04-20_20:05:25'), (53, '2021-04-20_20:05:28'), (53, '2021-04-20_20:05:31'), (53, '2021-04-20_20:05:34'), (53, '2021-04-20_20:05:37'), (53, '2021-04-20_20:05:40'), (53, '2021-04-20_20:05:43'), (53, '2021-04-20_20:05:46'), (53, '2021-04-20_20:05:49'), (53, '2021-04-20_20:05:52')]",20
NET 2G,"[38, (38, '2021-04-20_20:04:57'), (38, '2021-04-20_20:05:00'), (32, '2021-04-20_20:05:04'), (32, '2021-04-20_20:05:07'), (32, '2021-04-20_20:05:10'), (32, '2021-04-20_20:05:13'), (32, '2021-04-20_20:05:16'), (32, '2021-04-20_20:05:19'), (32, '2021-04-20_20:05:22'), (32, '2021-04-20_20:05:25'), (32, '2021-04-20_20:05:28'), (32, '2021-04-20_20:05:31'), (0, '2021-04-20_20:05:34'), (0, '2021-04-20_20:05:37'), (0, '2021-04-20_20:05:40'), (0, '2021-04-20_20:05:43'), (0, '2021-04-20_20:05:46'), (0, '2021-04-20_20:05:49'), (0, '2021-04-20_20:05:52')]",20
Oi_93B7,"[29, (29, '2021-04-20_20:04:57'), (29, '2021-04-20_20:05:00'), (31, '2021-04-20_20:05:04'), (31, '2021-04-20_20:05:07'), (31, '2021-04-20_20:05:10'), (31, '2021-04-20_20:05:13'), (31, '2021-04-20_20:05:16'), (31, '2021-04-20_20:05:19'), (31, '2021-04-20_20:05:22'), (31, '2021-04-20_20:05:25'), (31, '2021-04-20_20:05:28'), (31, '2021-04-20_20:05:31'), (0, '2021-04-20_20:05:34'), (0, '2021-04-20_20:05:37'), (0, '2021-04-20_20:05:40'), (0, '2021-04-20_20:05:43'), (0, '2021-04-20_20:05:46'), (0, '2021-04-20_20:05:49'), (0, '2021-04-20_20:05:52')]",20
TOPNET 99255-7919 GT SURF,"[31, (31, '2021-04-20_20:04:57'), (31, '2021-04-20_20:05:00'), (0, '2021-04-20_20:05:04'), (0, '2021-04-20_20:05:07'), (0, '2021-04-20_20:05:10'), (0, '2021-04-20_20:05:13'), (0, '2021-04-20_20:05:16'), (0, '2021-04-20_20:05:19'), (0, '2021-04-20_20:05:22'), (0, '2021-04-20_20:05:25'), (0, '2021-04-20_20:05:28'), (0, '2021-04-20_20:05:31'), (0, '2021-04-20_20:05:34'), (0, '2021-04-20_20:05:37'), (0, '2021-04-20_20:05:40'), (0, '2021-04-20_20:05:43'), (0, '2021-04-20_20:05:46'), (0, '2021-04-20_20:05:49'), (0, '2021-04-20_20:05:52')]",20
moto e5 6307,"[28, (28, '2021-04-20_20:04:57'), (28, '2021-04-20_20:05:00'), (28, '2021-04-20_20:05:04'), (28, '2021-04-20_20:05:07'), (28, '2021-04-20_20:05:10'), (28, '2021-04-20_20:05:13'), (28, '2021-04-20_20:05:16'), (28, '2021-04-20_20:05:19'), (0, '2021-04-20_20:05:22'), (0, '2021-04-20_20:05:25'), (0, '2021-04-20_20:05:28'), (0, '2021-04-20_20:05:31'), (0, '2021-04-20_20:05:34'), (0, '2021-04-20_20:05:37'), (0, '2021-04-20_20:05:40'), (0, '2021-04-20_20:05:43'), (0, '2021-04-20_20:05:46'), (0, '2021-04-20_20:05:49'), (0, '2021-04-20_20:05:52')]",20
